Title,Payment,Job type,Experience / Level,Description
Зварювальники та монтажники,['Yes'],"['On-site / At the office', 'Full-time', 'Contract', 'Shifts']",,"Привіт, пишу з Туреччини, у нас є робочі бригади для всіх видів зварювання та монтажу металу. Зв’яжіться зі мною, якщо ви хочете отримати вигоду на основі проекту або протягом тривалого періоду часу."
Копірайтер,"['Yes', 'No']","['Remote', 'Full-time', 'Part-time', 'Contract']",,"Доброго дня! Шукаю роботу в сфері копірайтингу.Я:• Спокійна та стресостійка – можу спати навіть коли над головою літає зграя ворожих винищувачів.• Відповідальна. Не їстиму, не спатиму, але потрібну роботу зроблю якісно та вчасно.• Вільно володію двома мовами – російською та українською. І навіть трішечки знаю англійську. • Пишу яскраві та оригінальні тексти різної тематики. Можу описати що завгодно – від парфумів «Шанель» до нової львівської кави. Не лякаюсь таких слів, як «заспамленість», «відсоток води» та «СЕО-оптимізація». Серед мого портфоліо є навіть художні твори. А на фріланс-профілі знайдете відгуки вдоволених замовників.• Досвід роботи у сфері продажу – півроку.•      Досвід роботи на біржах копірайтингу – більше року.• Отримала освіту в одному з кращих ВНЗ країни – Харківському національному університеті імені В. Н. Каразіна за двома спеціальностями – «історія і археологія» та «журналістика».Приклади робіт: https://drive.google.com/drive/folders/1wQTRPtQs7mYbcfUuYghQG4XlMhyaGbk0Профіль на freelancehunt: https://freelancehunt.com/freelancer/DreevaElizaveta.html"
Журналіст-стажер,"['Yes', 'No']","['Remote', 'Full-time', 'Part-time', 'Contract']",,"Доброго дня! Я студентка філологічного факультету, кафедри журналістики. На даний момент шукаю роботу за спеціальністю. Досвіду роботи у цій сфері не маю, проте готова наполегливо вчитись. Я:• Спокійна та стресостійка – можу спати навіть коли над головою літає зграя ворожих винищувачів.• Відповідальна. Не їстиму, не спатиму, але потрібну роботу зроблю якісно та вчасно.• Вільно володію двома мовами – російською та українською. І навіть трішечки знаю англійську. • Ще з дитинства обожнюю дізнаватись щось нове. • Пишу яскраві та оригінальні тексти різної тематики. Зможу описати що завгодно – від парфумів «Шанель» до нової львівської кави.• Отримала освіту в одному з кращих ВНЗ країни – Харківському національному університеті імені В. Н. Каразіна за двома спеціальностями – «історія і археологія» та «журналістика».• Досвід роботи на біржах копірайтингу – більше року.• Досвід роботи у сфері продажу – півроку.Приклади робіт:https://drive.google.com/drive/folders/1wQTRPtQs7mYbcfUuYghQG4XlMhyaGbk0Профіль на freelancehunt: https://freelancehunt.com/freelancer/DreevaElizaveta.html"
"Копірайтер, рерайтер, транскрибація тексту (укр/рос мови)",['Yes'],"['Remote', 'Full-time', 'Part-time']",,"Допоможу написати пост в інстаграм або будь-який інший текст. Можу здійснювати транскрибацію тексту (мови російська, українська). Готова здійснювати іншу допомогу онлайн, готова навчатися. Цікаві теми для текстів: психологія, саморозвиток, спорт, все, що пов'язане з красою, тілом та доглядом за собою. Але готова написати і на іншу тему. Ви можете подати свої думки у вільному вигляді, а я складу їх у пост/текст, або ж готова написати з нуля за наданою темою."
В пошуку команди/ЗМІ для фото/відеозйомки,['Yes'],"['On-site / At the office', 'Full-time']",,"Вітаю. Я займаюся документуванням злочинів війни в Україні, і наразі шукаю команду/ЗМІ, з якою можу надалі співпрацювати.З 2016 року я навчалася в Школі фотографії Віктора Марущенко, і співпрацювала зі школою до 2020 року. Займалася як менеджерскими проєктами так і зйомкою фото та відео контенту. Розробляла проєкти для Журналу 5.6 про фотографію (від збору коштів та краудфандинговоі кампанії до реалізації журналу та виставки а малій галереї Мистецького арсеналу): https://issuu.com/magazine56/docs/5.6-11Для театру Івана Франка та їх проєкту «100-річчя театру імені Франка»: https://youtube.com/playlist?list=PLWStQ6ns60jQ3J9R_7AL9WFyOqSmvaX3c З 2020 року по 2022 в мене була професійна пауза, і я працювала в Благодійному фонді ""Ветеран хаб"" як кейс-менеджерка, а після підвищення на посаді менеджерки розробляла всеукраїнський проєкт «Плюс Плюс». За сумісництвом розвивала підкаст «УБД-Шоу», де ми створювали контент для ветеранів та ветеранок. Працювала над проєктом під час всього циклу створення контенту: від створення ТЗ для команди продакшену, так і приймала в ньому участь як ведуча. Після повномасштабного вторгнення я вирішила займатися фото та відео-контентом, тому готова працювати в ненормованому графіку, допоможу зі звуком та роботою над контентом в Adobe Premiere."
Будь-яка фізична робота,['Yes'],"['On-site / At the office', 'Full-time']",,Люблю працювати. Знаходжу легко спільну мову. Можу виконувати будь-яку фізичну роботу
Можу перекласти сленгову Іспаньску мову,['Yes'],"['Remote', 'Full-time', 'Part-time']",,
"Outreach worker до ГО ""Проліска""",['Yes'],"['On-site / At the office', 'Full-time']",,"Громадська організація «Проліска» — некомерційна, неполітична гуманітарна організація, що з 2014 року надає всебічну, нейтральну і незалежну допомогу та захист населенню, що постраждали від конфлікту на Сході України.На теперішній час ГО «Проліска» відкриває конкурс на посаду ""Outreach worker"" у м. Харків.Послуги:Завантаження/розвантаження товару;Комплектація та фасування товару на складі;Управління вантажником (за потреби);Виїзд в населені пункти Харківської області, що знаходяться в зоні проведення бойових дії (на підконтрольній Уряду України території) та здійснення видачі гуманітарної допомоги;Заповнення відомостей видачі матеріальної допомоги;Складання звітів видачі матеріалів (у т.ч. фото/відео фіксація).Перевагу буде надано кандидатам, що проживають у наступних локаціях:Селище Мала Рогань;Район П’ятихатки;Район Північна Салтівка;Житловий масив Обрій (Горизонт);Селище Жуковського;Що ми пропонуємо:Цивільно-правовий договір;6-денний робочий тиждень;Досвід роботи у сфері надання гуманітарної допомоги;Резюме необхідно надіслати З ОБОВ’ЯЗКОВИМ ЗАЗНАЧЕННЯМ НАЗВИ ВАКАНСІЇ на адресу електронної пошти proliskahr@gmail.com до 23:59, 24.07. 2022 р.За результатом попереднього відбору, потенційні кандидати на укладення угоди будуть запрошені на співбесіду. Якщо відповідні кандидати будуть визначені достроково, ГО «Проліска» залишає за собою право завершити процес до цього терміну."
Англійська для дітей безкоштовно,['No'],"['Remote', 'Part-time']",,"Я дуже хочу допомогти діткам у вивченні англійської мови(БЕЗКОШТОВНО) в цей важкий для нас всіх час  та з користю провести літо але я також буду рада, якщо наша з вами співпраця  продовжиться) Мене звати Аліна, я вчитель англійської мови з досвідом роботи. Працюю у школі та займаюсь додатково ще репетиторством. Тому, я точно знаю, що потрібно дітям! Що я пропоную? Заняття індивідуальні, в парі, в групахЯкий рівень для індивідуальних та групових занять? А1-В1 Вартість? БЕЗКОШТОВНОЗа додатковою інформацію, пишіть Messenger/Viber/Telegram(+380637226118), зі мною завжди можна знайти рішення стосовно будь-яких питань, тому звертайтесь, буда рада відповісти на ваші питання Welcome"
"Професійний художник, ілюстратор,розпис інтер'єру, діджитал",['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",,"Шукаю постійну або разову роботу. Малюю портрети в стилі реалізму,пейзажі,копії,розпис стін інтер'єру, діджитал ілюстрації, Портфоліо:https://www.behance.net/anastasiakarnobed"
Junior Frontend Developer - перша робота,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Мене звати Іван. Я починаю свій шлях в  IT.Маю досвід розробки на JS, TS, React та хороший рівень англійської мови. В своєму портфоліо вже маю 4 лендінги та 1 застосунок на React.Маю знання HTML, CSS, SCSS, JavaScript and React. Зараз в пошуках цікавого проекту, в якому хочу здобути цінний досвід та нові знання, а також хорошу команду.Готовий працювати як віддалено такі в офісі. Також не відмовлюсь від проектної робити на волонтерській основі під керівництвом ментора для комерційного досвіду."
Безкоштовні заняття для дітей і дорослих,['No'],"['On-site / At the office', 'Part-time']",,"Безкоштовні заняття для дітей та дорослих ВПО та всіх бажаючих вм. Ужгород від ГО ""Дівчата"", що у партнерстві з міжнародною організацією World Vision та за фінансового сприяння ADH реалізують проєкт ""Підтримка ВПО в Україні"".На вас чекають:*Спортивні заходи для дітей та дорослих*Фітнес для дітей*Українська мова для дорослих*Англійська мова для дорослих*Групи психологічної підтримки*Юридичні консультаціїЩоб дізнатися актуальний розклад та зареєструватися на заняття, надішліть ваш запит на електронну пошту:uzhgorod@divchata.org"
Кременчук-Київ-Луцьк. Перевезуть гуманітарний вантаж,['No'],"['On-site / At the office', 'Part-time']",,Допомагаємо волонтерським організаціям безкоштовно в перевезенні гуманітарного вантажу.Наразі вільний напрямок:Кременчук=> Київ=>Луцьк До 900 кг факт і до 1.5 куба об'ємНаявність документів на вантаж обов‘язково!
20.07. Безкоштовна евакуація з Миколаєва,['No'],"['On-site / At the office', 'Part-time']",,"БЕЗКОШТОВНА евакуація з Миколаєва розпочнеться 20.07.2022 о 8:30 на перехресті вул. Лягіна/вул. Шевченко!Тимчасово внутрішньо переміщені особи будуть розміщені у Івано-Франківській обл. (м. Яремче, с. Коломоя) та у Львівській обл. Розселення буде відбуватися в приміщеннях при церквах.Передбачено повноцінне харчування.Транспорт прямуватиме через Одесу, Умань, Вінницю, Хмельницький, Тернопіль, Львів, тож зможемо довезти вас до цих міст безкоштовно.Реєстрація за номером гарячої лінії Червоного хреста Миколаїв: 0800339801 Олена, Катерина (з 10:00 до 16:00)Евакуація без тварин!!!!!Звертаємо вашу увагу!! Якщо ви записались на евакуацію, але з деяких причин передумали їхати, будь ласка, попередьте заздалегідь."
Водійка з напарником зі своїм авто,"['Yes', 'No']","['On-site / At the office', 'Part-time', 'Contract', 'Shifts']",,Можемо перевозити невеликі вантажі по Україні . Маємо авто з хорошою проходимістю. 2 місця ( для пасажирів ) . Із потреб - пальне .
QA Engineer (part-time),['No'],"['Remote', 'Part-time']",,Part-time QA Engineer
"SEO-спеціаліст - Створюю сайти для бізнесу, популяризую їх",['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract']",,"Створюю на платній основі сайти для бізнесу та допомагаю в питаннях популяризації в мережі інтернет.В цей непростий час, коли замовники не поспішають витрачати гроші, бізнес має не лише вижити, а й розвиватися.Найбільш часта помилка в періоди економічного спаду - зменшувати витрати на маркетинг.Знаюсь на b2c, але перевагу надаю українським компаніям сфери b2b та b2g.Пропоную оперативні рішення, щоб це не затягувалось на довго. Використовую сучасні маркетингові підходи.Підприємцям та компаніям вигідно скористатися моїми послугами для:-Скорочення часу запуску нових проектів-Популяризація діючих сайтів в пошукових системах-Зменшення витрат на рекламу в пошукових системах та соціальних мережах-Збільшення цільового трафіку на діючому сайті-Пошуку шляхів підвищення конверсії на сайті-Роботи з репутацією компанії в мережі інтернет-Контролю роботи підрядників на послуги інтернет-маркетингуНайбільш популярні послуги:- Безпечне залучення якісних посилань на сайт згідно стратегії- Підтримка сайту (наповнення, оновлення, модерація)- Експрес SEO-Аудит сайту або Повний (з аналізом трафіку сайту)- Аналіз конкурентів та оцінка ніші (прогноз трафіку, визначення пріоритетів)- Налаштування реклами в Google або Facebook- Сайт-лендінг (популяризація 1-3 товарів чи послуг)- Сайт компанії (послуги)- Інтернет-магазин (продаж товарів)- Збір email-бази чи бази телефонних номерів за заданими параметрами- Консультація по SEO, відповіді на ваші питання-Окремі роботи по сайту (Wordpress)SEO-спеціаліст - більше інформації на сайті"
Керівник проекту,['Yes'],"['On-site / At the office', 'Full-time']",,"ГО ""Проліска"" оголошує конкурс  на заміщення вакантної посади керівника проекту.Термін роботи: червень 2022 - березень 2023 року Громадська організація «Проліска» займається наданням всебічної допомоги та підтримки постраждалому населенню та громадам ВПО, що проживає на підконтрольній уряду України території. Допомога та підтримка постраждалому населенню надається як на індивідуальному рівні, так і на рівні громад. Громадська організація «Проліска» є партнером міжнародної організації ‘Save the Children’. Проєкт, буде реалізовуватись протягом червня 2022 – березня 2023 року, націлений на допомогу дітям дошкільного та шкільного віку, що перебувають у таких містах як Івано-Франківськ, Ужгород, Рівне, Вінниця та Дніпро. В межах проєкту міжнародної організації «Save the Children» громадська організація «Проліска» оголошує конкурс на заміщення вакантної посади «Керівника проекту».І. Вимоги до конкурсанта:• Вища освіта; • Досвід роботи у некомерційних та/або гуманітарних або міжнародних організаціях не менше 5-ти років • Досвід роботи з ВПО або постраждалими внаслідок збройного конфлікту на сході України;• Готовність до робочих виїздів по території України та у міста проекту на робочі зустрічі;• Вільне володіння усною та письмовою українською та російською мовами;• Вільне володіння усною та письмовою англійською мовою.ІІ. Функціональні обов'язки:• Загальна координація проекту та регіональних команд проекту у таких містах: Івано-Франківськ, Ужгород, Рівне, Вінниця та Дніпро• Координація співпраці з органами державної влади (управління освіти, центр соціальних служб та іншими)• Координація співпраці з міжнародними та громадськими організаціями у регіонах проекту• Управління командою проекту та координація регіональних команд• Участь у процесі найму персоналу на вакантні посади• Планування заходів та діяльності проекту у всіх регіонів, спільно з регіональними командами• Участь у засіданнях кластерів ООН та тематичних нарадах на всеукрїанському та місцевому рівню по обговоренню проблем постраждалого населення • Організація та координація процесу звітування щодо активностей проекту, кількісних та якісних показників.• Налагодження процесу закупівель товарів та послуг, необхідних для реалізації проекту• Моніторинг виконання проекту, його основних показників, бюджету та фінансового плану проекту• Написання фінальних звітів для донорів проекту.• Виконання інших завдань по реалізації проекту за погодженням з керівництвом організації «Проліска». ІІІ. Особисті якості:• Вміння працювати з великою кількістю найманих працівників та організувати їх роботу• Вміння організувати роботу команди• Ввічливість та дипломатичність;• Самоорганізованість та вміння системно працювати;• Здатність швидко навчатися;• Стресостійкість;• Відповідальність;• Націленість на результат;• Неконфліктність.Резюме необхідно надіслати ІЗ ОБОВ’ЯЗКОВИМ ЗАЗНАЧЕННЯМ НАЗВИ ВАКАНСІЇ на адресу електронної пошти proliskahr@gmail.com до 17 червня 2022 р."
Безкоштовне перевезення гуманітарного вантажу,['No'],"['On-site / At the office', 'Part-time']",,Допомагаємо волонтерським організаціям безкоштовно в перевезенні гуманітарного вантажуНапрямок:-Луцьк =>Львів-Кременчук=> Київ=>Луцьк -До 900 кг факт і до 1.5 куба об'єм-Наявність документів на вантаж обов‘язково!
Ремонт клімат систем авто,"['Yes', 'No']","['On-site / At the office', 'Full-time', 'Part-time']",,"Кому потрібно відремонтувати автомобільний кондиціонер, пишіть у приват. Також актуально для швидких, які возять 300-х."
Водій категорії в с с правом виїзда за кордон,['Yes'],"['On-site / At the office', 'Full-time']",,"Вантажні та пасажирські перевезення,логістика,перевезення авто з Європи!Цікавить співпраця з Благодійними та волонтерськими організаціями.Павло,40років,стаж водія 20років"
"Написання запитів у європейські організації англ., франц., чес.","['Yes', 'No']","['Remote', 'Part-time']",,"Допоможу офіційним організаціям, які збирають гуманітарну допомогу, у написанні запитів у європейські гуманітарні організації на -англійській, -французькій та -чеській мовах, а також у підтримці комунікації та перекладі документів."
Допомога волонтерам. Є бус 10 кубів.,"['Yes', 'No']","['On-site / At the office', 'Part-time']",,"Є бус 10 кубів, вантажопідйомністю 1 тонна. Вільний в суботу та неділю (але не завжди). Допоможу волонтерам. Із вас паливо. Харків та область. Писати у приватні."
Молодіжний обмін у Литві,['No'],"['On-site / At the office', 'Part-time']",,"Запрошую українців/-ок на молодіжний обмін у Литві    Це буде проєкт спонсорований Європейським Союзом. -Тема проєкту: Zero-waste.Дати: 22.08-29.08.2022.Де проходитиме: містечко Antalieptė, Lithiania у 128км від Вільнюса.-Участь є безкоштовною та вам будуть оплачені всі витрати на проїзд, харчування та проживання. Вам потрібно лише мати свою страховку та сертифікат про вакцинацію/негативний тест.Можна подавати заявку, якщо ви: -  віком від 15 до 18 років. -  з України. Буде ідеально, якщо ви вже знаходитесь у Литві і зможете легко дістатись до місця збору, але це не є обов’язковою умовою. -  зацікавлені у темі екології, зміни клімату, свідомого споживання, проблемі забруднення навколишнього середовища та провадження з відходами;-  готові до культурного обміну й поширення інформації про Україну. -  володієте англійською мовою.Подати заявку можна до 25.07.2022"
КТ і МРТ. Безкоштовно для військових,['No'],"['On-site / At the office', 'Part-time']",,"Пропонуємо безкоштовну діагностику КТ і МРТ в місті Києві, для всіх військових, за наявності документа, що підтверджує вашу участь в обороні країни та наявності договору з сімейним лікарем.https://t.me/VolunteerTalks/164791"
Лазерна корекція зору для ЗСУ безкоштовно,['No'],"['On-site / At the office', 'Part-time']",,"Для Захисників України лазерна корекція зору - безкоштовна, як і інші послуги Центру Ока.https://t.me/VolunteerTalks/164873"
"Фасування комплектів, відправка тощо",['No'],"['On-site / At the office', 'Part-time']",,"Хочу допомогати волонтерам забезпечувати допомогу , це може бути фасування комплектів, відправка продуктів кудись , тощо , я готова працювати так, бо не маю змоги допомагати фінансово"
Водій з власним автомобілем до 500кг,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",,ВПО із Харкова 45років маю Renault Kangoo вантажно-пасажирська.Мешкаю в с. Гряда Львівська область. Вища будівельна освіта. Маю досвід роботи на складі (кoмірник).
Middle/Senior Data Engineer,['Yes'],"['Remote', 'Full-time']",,"GreenM is an engineering and professional services provider for Data-centric solutions, founded in 2014. We start by understanding business goals of our partners and then leverage a wide variety of top-notch technologies to co-build Analytics products. Our team of senior engineers offers a wide variety of expertise and experience across many technology areas. This allows us to create easy-to-use Analytics platforms that are scalable, insightful, and responsive.We are expanding our team to include a middle/senior data engineer to help develop a data platform and reporting system for one of our international clients.The main focus of this project is to build a Python-based reporting framework that uses SQL tables, flat files, and various other data sources to create a report configuration that is then shared with other applications via Kafka.What will you do:Create structured OOP Python code that can efficiently retrieve data from various data sources;Perform unit and integration testing;Participate in the analysis and resolution of data quality problems and other issues;Apply best practices for optimizing database and query performance, as well as efficient Python code;Daily communication, written and oral communication with customers, other developers, infrastructure and support teams;Constant search for the best solutions and recommendations of new ideas to the client.Skills and qualifications:At least 2-3 years of Python development experience with a particular focus on writing structured and legible Python OOP code;At least 1-2 years of experience in SQL programming, query writing, query performance tuning and database technologies;Experience with agile work methodologies, testing and CI/CD;Knowledge of basic Linux commands;Excellent communication, organizational and analytical skills;Ability to manage parallel tasks;Good problem-solving skills;Self-management.General requirements:Experience in commercial projects;Excellent communication skills in English (both written and oral);Intelligent, friendly person, able to work in a team, interested and ready to learn new skills and technologies.And we will be glad if you have additional:Experience with Kafka and Proto3;Experience with event applications;Experience with multiprocessing, design patterns and best practices in Python;Experience in developing solutions based on complex business requirements.Advantages:The ability to work remotely or from abroad (a prerequisite is the 3rd form of ""individual entrepreneur"");All necessary equipment and assistance in setting up a home office (if you prefer to work from home);20 vacation days, including UA holidays;Medical insurance + unlimited sick leave (no need to provide a certificate, we work on trust);Maternity leave programs;Paid sabbatical after five years of work in the company;Remuneration for advanced training courses (except for English courses of your choice), books, participation in seminars, conferences in the country and abroad;Lawyer, accountant, negotiator for both work and personal occasions;Oratory trainer, designer at your disposal if you want to host an event or publish it;Ability to keep your job and compensation in case you have to join the armed forces to protect our country.Interview process:15–45 min. Pre-check with a GreenM recruiter to discuss the position, learn more about your experience, clarify your questions and check if our offer meets your requirements (phone/zoom/telegram);1 hTech screening with the participation of the head and experts of the GreenM data development department (Zoom);Online test via Hackerrank. You will need to complete our SQL and Python tests (each takes 2 hours).1 hour: Customer interview with project PO and technical manager (English; Zoom). They will tell you more about the role of Data Engineering in the project and company, and you will also talk about your professional experience.You will be invited to an in-person interview to meet with the head of the delivery department and the business partner of the human resources department.The team is made up of colleagues and friends who share the same values and passion for what they are doing. We invite new teammates who have a similar mindset and professional views."
Водій в гуманітарних організаціях,['Yes'],"['Remote', 'Full-time']",,"Шукаю роботу водієм, В С. Відрядження + перевезення пасажирів +логістика +закупки +доручення."
Борщ для стареньких переселенців,['No'],"['Remote', 'Part-time', 'Contract']",,"Привіт! Мене звати Наталя. Я хочу приготувати борщ сувмісно з ініціативою Vegan Kitchen Ukraine для літніх людей ВПО, які проживають у Закарпатській області (Міжгір'я або селища поряд). Якщо ви або ваші рідні потребують такої допомоги, надішліть будь-ласка мені заявку з адресою та кількістю людей."
Конференція «Плекаймо українську ідентичність»,['No'],"['Remote', 'Part-time']",,Запрошуємо освітян до участі у Всеукраїнській онлайн-конференції «Плекаймо українську ідентичність».
Практикум. 5 українських інструментів для smm,['No'],"['Remote', 'Part-time']",,"Ми з командою будемо проводити безкоштовний практикум «5 українських інструментів для SMM» Формат: дописи, сторіз та прямий ефір на сторінці креативного осередка misto.Можливо, відхопите для себе щось корисне та цікаве і візьмете собі в роботу"
Написання мотиваційного листа,['Yes'],['Remote'],,"Напишу якісний та детальний мотиваційний лист з дотриманням усіх необхідних вимог. Мова написання - українська та/або англійська (володію англійською на рівні B2). Проходила тренінг від ""Євроосвіта"" з написання мотиваційних листів, тому впевнена, вам сподобається результат!"
Починаючий волонтер,['No'],"['Remote', 'On-site / At the office', 'Part-time']",,"Я давно хочу стати волонтером, але не знаю, куди звертатись, заповнила декілька анкет в Інтернеті, але поки безрезультатно, може, хтось може підказать якісь контакти?"
Волонтер (потрібен офіційний документ),['No'],"['On-site / At the office', 'Part-time']",,"Я з Мелітополя, перебуваю зараз у Запоріжжі. Хочу стати офіційно волонтером. Я регулярно беру ліки від різних волонтерів м. Запоріжжя, передати на окуповану територію. А так само продукти, речі навіть людей беру безкоштовно, бо на власні очі бачив, що у багатьох людей не залишилося нічого і вибратися немає ні грошей ні сил від розпачу. Людина, яка за мене подавала заяви на виїзд і надавала гуманітарну допомогу, зараз не може зробити мені відповідні документи, і я вже більше 20 днів сиджу, тупо чекаючи черги на виїзд. А міг би і з'їздити 2-3 рази і допомогти нужденним. Є люди, які можуть допомогти мені? (Мені вже 2 тижні роблять і ніякого світла в кінці тунелю), я вже й сім'єю скучив-дочку, майже 3 тижні не бачив. А я зі свого боку, допомагатимуЗгоден на ваших умовахhttps://t.me/VolunteerTalks/164259"
Волонтер на будівництво,['No'],"['On-site / At the office', 'Part-time']",,"Мене звати Павло, я приїхав до Києва з окупованої території. Маю бажання допомогти по волонтерських справах. Вільний у вихідні, можу бути корисним у будівельних спеціальностях."
Безкоштовна консультація щодо SMM,['No'],"['Remote', 'Part-time']",,"Я SMM-спеціаліст і зараз для дослідження нової схеми стратегій розвитку брендів хочу взяти 3 проекта (комерція/особистий блог) для безкоштовної консультації, кому цікаво пишіть в особисті повідомлення"
Ведення бухгалтерського обліку ФОП,['Yes'],"['Remote', 'Part-time']",,
Транскрибування текстів українською та російською  мовами.,['Yes'],"['Remote', 'Part-time']",,
"Написання, переклад текстів українською",['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract']",,"Швидко перекладу тексти сайту на українську мову. Знайду та відредагую фото для матеріалів на сайт.Напишу за вас нові тексти. Роблю маркетинговий аналіз, створюю контетн-план."
Центр соціальних служб,['No'],"['On-site / At the office', 'Part-time']",,"До уваги мешканців Солом'янського району!Центр соціальних служб повернулся до звичайного режиму роботи.  Ми -психологічно підтримуємо осіб, які пережили психотравматичні події, -надаємо гуманітарну допомогу внутрішньо переміщеним особам, які зараз мешкають у Києві, -пропонуємо участь у відпочинкових програмах для дітей, -надаємо первинну юридичну допомогу тощо. Наші послуги безкоштовні та професійні. Щоб отримати їх, звертайтеся за адресою: вул. М.Кривоноса 21 з 9.00 до 17.00."
"Евакуація, вивіз тварин","['Yes', 'No']","['Remote', 'Full-time', 'Part-time']",,
"Захід ""MIND KIDS CAMP - Сімейні цінності"".",['No'],"['On-site / At the office', 'Part-time']",,"Всеукраїнська ініціатива ""MIND KIDS CAMP"" .ЗАПРОШУЄ батьків і дітей віком 6-14 років на сімейний захід ""MIND KIDS CAMP - Сімейні цінності"".КОЛИ: з 14 по 16 липня⏰14:00-18:00ДЕ: Палац мистецтв            вул.М.Коперника 17У програмі заходу:⚽️ mind-ігри   mind-лекція  майстер-класи  вивчення християнських руханок ⛪️ лекція християнської етики ‍ ‍ ‍  спілкування в групах❗Для участі обов'язкова реєстрація:https://forms.gle/zGQjHtPMBGCJwA5T8"
"Евакуація зі Слов‘янська, Краматорська, Бахмута","['Yes', 'No']","['On-site / At the office', 'Part-time']",,"Можливо, ви знаєте, хто хоче евакуюватися з Слов'янська, Краматорска, Бахмута. Пишіть мені, мої друзі вже виїхали, є вільні місця!"
Перевезу гуманітарку з-за кордону,['No'],"['Remote', 'Part-time']",,"Придбаю і привезу гуманітарну допомогу з-за кордону.З Варшави, інших міст Польщі до Києва і далі на передову - Краматорська, Харкова, Запоріжжя, Одеси.Об'єм перевезень - два кубометри/півтони."
Перевезення гуманітарки на передову,['No'],"['Remote', 'Part-time']",,"Перевезу гуманітарну допомогу на передову.З Києва до Краматорська, Харкова, Запоріжжя, Одеси.Назад можу вивезти поранених та/або людей, що потребують евакуації.Обсяг перевезень - два кубометри, півтони. Або 4 пасажири з багажем."
Перевезення гум.вантажу і військових потреб,['No'],"['On-site / At the office', 'Part-time']",,Перевезуть гуманітарний вантаж або вантаж доя військових потреб.https://t.me/VollunteerUA/75720
Ремонтую автотехніку,['Yes'],"['On-site / At the office', 'Full-time', 'Part-time']",,Можу ремонтувати автотехніку. Всі деталі за номером телефону +380506918487
Допомога Front end Developer,['No'],"['Remote', 'Part-time', 'Contract']",,"Доброго дня. Я ще навчаюсь на курсах Full stack Developer, але якщо комусь знадобиться допомога у виконанні волонтерської роботи, під контролем більш досвідчених фахівців готовий на добровільних засадах допомагати."
Вантажний бус в Україну 4 м.куб. або 900 кг,['Yes'],"['Remote', 'Part-time']",,"Нововостворена ГО ""Повернемо свою історію"" має на сьогодні-завтра бус в Польщі (м. Познань), готовий перевезти вантаж в Україну. З оплатою на проїзд."
Шукаю можливість бути корисним в цей складний час,['No'],"['On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Всім привіт, мене звати Нік.Починаючи з перших днів повномасштабного вторгнення мав честь співпрацювати з одним із волонтерських штабів міста Харків. Наразі, потреба у моій діяльності відпала та я все ще хочу допомагати людям у свій вільний час.Моя діяльність була пов'язана у розповсюдженні гуманітарної допомоги у різні райони Харкова та області. Зараз я розглядаю різні варіанти волонтерської діяльності які пов'язані з роботою ""в полі"".Дякую!"
Перевезення і розвантажування. Німеччина-Україна,['No'],"['On-site / At the office', 'Full-time', 'Part-time']",,"Я (16 років) та мій дід (63 роки, але у самому розквіті сил, дуже активний) хочемо якось допомагати Україні, нашим бійцям чи цивільним. Дід має Міжнародні водійські права категорії В та С (латинською), я можу допомагати розвантажувати. Зараз знаходимося у місті Ульм, Німеччина але з якого міста виїзджати не має різниці (якщо нададуть машину, також є своя Tayota Prado 120), можемо перевозити що потрібно до України й по самій Україні також.Якщо тут є люди чи хтось має контакти людей, що можуть надати таку волонтерську роботу, будь ласка, напишіть мені в приватні повідомлення."
Рекрутер (full-time office),['Yes'],"['On-site / At the office', 'Full-time']",,"Компанія ІНТЕР’ЄР ЕКСПЕРТ запрошує до своєї команди РЕКРУТЕРА.ХТО МИ?!Мережа магазинів з продажу паркетної дошки, ламінату та дверей ""ПРАКТИК"", також маємо відділ гуртового продажу.На ринку з 2003 р. Маємо магазини у Львові та Івано-Франківську, і точно не плануємо на цьому зупинятися.Ми стабільні, але при цьому не стоїмо на одному місці, з нами є куди зростати!ЩО МИ ТОБІ ПРОПОНУЄМО?!- ОФІЦІЙНЕ працевлаштування, соціальні ГАРАНТІЇ- ЗРУЧНИЙ графік роботи: 9.00-18.00, година перерви, - - СТАБІЛЬНІ вихідні сб-нд.- РЕАЛЬНА можливість кар’єрного зростання як вертикального, так і горизонтального- БЕЗКОШТОВНЕ навчання, робота з наставником і досвідченим керівником, який допоможе освоїти всі тонкощі професіїМожливість бути причетним до всіх HR-процесів, не тільки рекрутингТИ ВПОРАЄШСЯ ЯКЩО?!- маєш досвід в підборі співробітників - сфера HR – твій свідомий вибір у професійному житті"
30.06.22.Полтава-Харків-Полтава. Перевезення людей безкоштовно,['No'],"['On-site / At the office', 'Part-time']",,Безкоштовно перевозимо людей: Полтава - Харків -  Полтава. Мікроавтобус Mercedes-Benz.Виїзд з Полтави 30.06.2022 о 09:00Виїзд з Харкова 30.06.2022 о 14:00Бронювання місць за попереднім записом.
